#            iprt         eigenv.           conv.
         1.000000       -2.317449        0.000000
         2.000000       -0.933597        0.000000
         3.000000       -0.739047        0.000000
         4.000000       -0.718429        0.000000
         5.000000       -0.577785        0.000000
         6.000000       -0.500940        0.000000
         7.000000       -0.456040        0.000000
         8.000000       -0.317735        0.000000
         9.000000       -0.307327        0.000000
        10.000000       -0.292910        0.000000
