#             iks              ib         Eks[eV]         Ein[eV]      Sc_Ein[eV]        Eout[eV]       Diff.[eV]
         1.000000        7.000000        1.903504        4.262833       -0.355796        4.257942       -0.004891
         1.000000        8.000000        2.320881        3.572049       -0.086991        3.571862       -0.000187
