#            band          E0[eV]          Sx[eV]        Vxcl[eV]       Vxcnl[eV]         EHF[eV]
         7.000000        1.903504       -1.796042       -4.506179        0.000000        4.613642
         8.000000        2.320881       -0.247508       -1.585480        0.000000        3.658853
