#             iks              ib         Eks[eV]         Ein[eV]      Sc_Ein[eV]        Eout[eV]       Diff.[eV]
         1.000000        7.000000        1.903504        1.903504       -0.309711        4.262833        2.359329
         1.000000        8.000000        2.320881        2.320881       -0.082875        3.572049        1.251168
