#Chi is reported as CHI_(i)_(j) \hbar \omega (Ry)  Re(chi) (e^2*a_0^2/Ry) Im(chi) (e^2*a_0^2/Ry) 
     chi_1_2=   0.80000000E-02   0.98172769E+00   0.77359288E-04
     chi_2_2=   0.80000000E-02   0.88717948E+01   0.10576055E-02
     chi_3_2=   0.80000000E-02   0.98173121E+00   0.77363639E-04
     chi_1_3=   0.80000000E-02   0.98172919E+00   0.77369264E-04
     chi_2_3=   0.80000000E-02   0.98173121E+00   0.77363645E-04
     chi_3_3=   0.80000000E-02   0.88718133E+01   0.10576335E-02
     chi_1_1=   0.90000000E-02   0.88719395E+01   0.11898819E-02
     chi_2_1=   0.90000000E-02   0.98173895E+00   0.87028712E-04
     chi_3_1=   0.90000000E-02   0.98174045E+00   0.87039930E-04
     chi_1_2=   0.90000000E-02   0.98173895E+00   0.87028713E-04
     chi_2_2=   0.90000000E-02   0.88719486E+01   0.11898700E-02
     chi_3_2=   0.90000000E-02   0.98174247E+00   0.87033609E-04
     chi_1_3=   0.90000000E-02   0.98174045E+00   0.87039938E-04
     chi_2_3=   0.90000000E-02   0.98174247E+00   0.87033616E-04
     chi_3_3=   0.90000000E-02   0.88719672E+01   0.11899015E-02
     chi_1_1=   0.10000000E-01   0.88721115E+01   0.13221703E-02
     chi_2_1=   0.10000000E-01   0.98175153E+00   0.96697966E-04
     chi_3_1=   0.10000000E-01   0.98175303E+00   0.96710431E-04
     chi_1_2=   0.10000000E-01   0.98175153E+00   0.96697967E-04
     chi_2_2=   0.10000000E-01   0.88721206E+01   0.13221570E-02
     chi_3_2=   0.10000000E-01   0.98175505E+00   0.96703407E-04
     chi_1_3=   0.10000000E-01   0.98175304E+00   0.96710441E-04
     chi_2_3=   0.10000000E-01   0.98175505E+00   0.96703415E-04
     chi_3_3=   0.10000000E-01   0.88721392E+01   0.13221921E-02
     chi_1_1=   0.11000000E-01   0.88723016E+01   0.14544837E-02
     chi_2_1=   0.11000000E-01   0.98176544E+00   0.10636703E-03
     chi_3_1=   0.11000000E-01   0.98176694E+00   0.10638074E-03
     chi_1_2=   0.11000000E-01   0.98176544E+00   0.10636703E-03
     chi_2_2=   0.11000000E-01   0.88723108E+01   0.14544691E-02
     chi_3_2=   0.11000000E-01   0.98176896E+00   0.10637301E-03
     chi_1_3=   0.11000000E-01   0.98176695E+00   0.10638075E-03
     chi_2_3=   0.11000000E-01   0.98176896E+00   0.10637302E-03
     chi_3_3=   0.11000000E-01   0.88723293E+01   0.14545077E-02
     chi_1_1=   0.12000000E-01   0.88725099E+01   0.15868246E-02
     chi_2_1=   0.12000000E-01   0.98178068E+00   0.11603588E-03
     chi_3_1=   0.12000000E-01   0.98178218E+00   0.11605084E-03
