#            iprt         eigenv.           conv.
         1.000000       -1.287405        0.000000
         2.000000       -1.231072        0.000000
         3.000000       -1.230706        0.000000
         4.000000       -1.229563        0.000000
         5.000000       -0.818134        0.000000
         6.000000       -0.813446        0.000000
         7.000000       -0.804904        0.000000
         8.000000       -0.631856        0.000000
         9.000000       -0.626678        0.000000
        10.000000       -0.482622        0.000000
