#            iprt         eigenv.           conv.
         1.000000       -1.292638        0.000000
         2.000000       -1.231376        0.000000
         3.000000       -1.231372        0.000000
         4.000000       -1.231361        0.000000
         5.000000       -0.819632        0.000000
         6.000000       -0.819439        0.000000
         7.000000       -0.818102        0.000000
         8.000000       -0.635905        0.000000
         9.000000       -0.635442        0.000000
        10.000000       -0.565905        0.000000
