#            band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]
         1.000000      -13.273057      -19.731513      -15.847406       -2.574349        3.830298        0.088256
         2.000000       -8.231249      -12.831753      -11.832966       -3.601717        1.000516        0.007226
