#             iks              ib         Eks[eV]         Ein[eV]      Sc_Ein[eV]        Eout[eV]       Diff.[eV]
         1.000000        1.000000      -13.273057      -15.812042        3.830298      -15.847406       -0.035364
         1.000000        2.000000       -8.231249      -11.832966        1.000516      -11.832966        0.000000
