#             iks              ib         Eks[eV]         Ein[eV]      Sc_Ein[eV]        Eout[eV]       Diff.[eV]
         1.000000        1.000000      -13.273057      -15.377353        3.168889      -15.812042       -0.434689
         1.000000        2.000000       -8.231249      -11.832966        1.000516      -11.832966        0.000000
