#             iks              ib         Eks[eV]         Ein[eV]      Sc_Ein[eV]        Eout[eV]       Diff.[eV]
         1.000000        1.000000      -13.273057      -13.273057        2.337309      -16.920141       -3.647085
         1.000000        2.000000       -8.231249       -8.231249        0.446467      -11.867133       -3.635883
