#             iks              ib         Eks[eV]         Ein[eV]      Sc_Ein[eV]        Eout[eV]       Diff.[eV]
         1.000000        1.000000      -13.273057      -16.920141        5.832835      -15.377353        1.542788
         1.000000        2.000000       -8.231249      -11.867133        1.004027      -11.832966        0.034167
